FID,id,name,name_category,category,wkb_geometry,long,lat
stednavn_punkt.fid-361ad8c1_150a94a2aab_-834,0,Hal C,17249,Idrætshaller,POINT (12.602137159337724 55.67606473553194),12.60213716,55.67606474
stednavn_punkt.fid-361ad8c1_150a94a2aab_-833,1,Bellahøj Hallerne,17249,Idrætshaller,POINT (12.514314521646787 55.7060411301821),12.51431452,55.70604113
stednavn_punkt.fid-361ad8c1_150a94a2aab_-832,2,Remisen,17249,Idrætshaller,POINT (12.576790073078762 55.69868442846709),12.57679007,55.69868443
stednavn_punkt.fid-361ad8c1_150a94a2aab_-831,3,Nørrebrohallen,17249,Idrætshaller,POINT (12.5434838663867 55.699427544279864),12.54348387,55.69942754
stednavn_punkt.fid-361ad8c1_150a94a2aab_-830,4,Engdraget,17249,Idrætshaller,POINT (12.48125556315582 55.67231413747788),12.48125556,55.67231414
stednavn_punkt.fid-361ad8c1_150a94a2aab_-82f,5,Bavnehøj Idrætsanlæg,17249,Idrætshaller,POINT (12.538605691553606 55.659685661799294),12.53860569,55.65968566
stednavn_punkt.fid-361ad8c1_150a94a2aab_-82e,6,Copenhagen Skatepark,17249,Idrætshaller,POINT (12.540914655778298 55.66203272023012),12.54091466,55.66203272
stednavn_punkt.fid-361ad8c1_150a94a2aab_-82d,7,Sundby Idrætspark,17249,Idrætshaller,POINT (12.599955549189753 55.6502299787168),12.59995555,55.65022998
stednavn_punkt.fid-361ad8c1_150a94a2aab_-82c,8,Grøndal MultiCenter,17249,Idrætshaller,POINT (12.515352420377448 55.69983427823777),12.51535242,55.69983428
stednavn_punkt.fid-361ad8c1_150a94a2aab_-82b,9,Husum Idrætspark - Gadelandet,17249,Idrætshaller,POINT (12.48329451925535 55.71107398289949),12.48329452,55.71107398
stednavn_punkt.fid-361ad8c1_150a94a2aab_-82a,10,Genforeningspladsens Idrætsanlæg,17249,Idrætshaller,POINT (12.518410458454664 55.69997705233909),12.51841046,55.69997705
stednavn_punkt.fid-361ad8c1_150a94a2aab_-829,11,Østerbro Stadion og Idrætshuset,17249,Idrætshaller,POINT (12.574848907878387 55.70476658967722),12.57484891,55.70476659
stednavn_punkt.fid-361ad8c1_150a94a2aab_-828,12,Prismen (Amager),17249,Idrætshaller,POINT (12.610874447037068 55.66669863807009),12.61087445,55.66669864
stednavn_punkt.fid-361ad8c1_150a94a2aab_-827,13,Emdrupparkens Idrætsanlæg,17249,Idrætshaller,POINT (12.533731221005159 55.72574269628036),12.53373122,55.7257427
stednavn_punkt.fid-361ad8c1_150a94a2aab_-826,14,Valby Idrætspark,17249,Idrætshaller,POINT (12.51374484498654 55.64979875451196),12.51374484,55.64979875
stednavn_punkt.fid-361ad8c1_150a94a2aab_-825,15,Valby-Hallen,17249,Idrætshaller,POINT (12.51650970036497 55.649381381010166),12.5165097,55.64938138
stednavn_punkt.fid-361ad8c1_150a94a2aab_-824,16,Vanløse Idrætspark,17249,Idrætshaller,POINT (12.476963324938017 55.68638759776497),12.47696332,55.6863876
stednavn_punkt.fid-361ad8c1_150a94a2aab_-823,17,Kløvermarkens Idrætsanlæg,17249,Idrætshaller,POINT (12.608327489532773 55.672271291367274),12.60832749,55.67227129
stednavn_punkt.fid-361ad8c1_150a94a2aab_-822,18,Korsgadehallen,17249,Idrætshaller,POINT (12.55565742648022 55.685735950364375),12.55565743,55.68573595
stednavn_punkt.fid-361ad8c1_150a94a2aab_-821,19,Ryparkens Idrætsanlæg Team Nord- øst,17249,Idrætshaller,POINT (12.558257344618475 55.71730895094678),12.55825734,55.71730895
stednavn_punkt.fid-361ad8c1_150a94a2aab_-820,20,Vanløsehallerne,17249,Idrætshaller,POINT (12.481191036046816 55.68582132896283),12.48119104,55.68582133
stednavn_punkt.fid-361ad8c1_150a94a2aab_-81f,21,Tingbjerg Idrætspark,17249,Idrætshaller,POINT (12.492325606606434 55.71881819886828),12.49232561,55.7188182
stednavn_punkt.fid-361ad8c1_150a94a2aab_-81e,22,Hillerødgade Bad og Hal,17249,Idrætshaller,POINT (12.539571021489653 55.696709769988864),12.53957102,55.69670977
stednavn_punkt.fid-361ad8c1_150a94a2aab_-81d,23,Østre Skøjtehal,17249,Idrætshaller,POINT (12.58305905662809 55.71163343733185),12.58305906,55.71163344
stednavn_punkt.fid-361ad8c1_150a94a2aab_-81c,24,Sundbyøster Idrætsanlæg,17249,Idrætshaller,POINT (12.613257875139738 55.65217223390593),12.61325788,55.65217223
stednavn_punkt.fid-361ad8c1_150a94a2aab_-81b,25,Skøjtebanen på Toftegårds Plads,17249,Idrætshaller,POINT (12.51855171695037 55.661435388507954),12.51855172,55.66143539
stednavn_punkt.fid-361ad8c1_150a94a2aab_-81a,26,Motorbanen,17249,Idrætshaller,POINT (12.563109476970908 55.642136175639486),12.56310948,55.64213618
stednavn_punkt.fid-361ad8c1_150a94a2aab_-819,27,Vigerslevparken,17249,Idrætshaller,POINT (12.500616875541464 55.64301394486279),12.50061688,55.64301394
stednavn_punkt.fid-361ad8c1_150a94a2aab_-818,28,Gl. Køge Landevej,17249,Idrætshaller,POINT (12.50419474436913 55.65297974873978),12.50419474,55.65297975
stednavn_punkt.fid-361ad8c1_150a94a2aab_-817,29,Fælledklubhuset,17249,Idrætshaller,POINT (12.563813205728543 55.70594642376108),12.56381321,55.70594642
