FID,wkb_geometry,long,lat,name,vejnavn,husnr,address,chargeType,betalingszone,ladestandertype,antal_udtag,operator,bem
elbil_ladestander.182,MULTIPOINT ((12.575597658463423 55.6654855652852)),12.57559766,55.66548557,Halfdansgade elbil_ladestander.182,Halfdansgade,1,Halfdansgade 1,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On,
elbil_ladestander.183,MULTIPOINT ((12.580704477880023 55.706732051670166)),12.58070448,55.70673205,Koldinggade elbil_ladestander.183,Koldinggade,18,Koldinggade 18,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.184,MULTIPOINT ((12.561166578189106 55.692298773042964)),12.56116658,55.69229877,Nørre Allé elbil_ladestander.184,Nørre Allé,,Nørre Allé ,Blå betalingszone ,Blå betalingszone,,2,E-On,Ved underjordisk P-anlæg
elbil_ladestander.185,MULTIPOINT ((12.605579395245545 55.66068693052723)),12.6055794,55.66068693,Frankrigsgade elbil_ladestander.185,Frankrigsgade,4,Frankrigsgade 4, 11kW,,11kW,2,,
elbil_ladestander.186,MULTIPOINT ((12.570663513551665 55.69320196843296)),12.57066351,55.69320197,Lundingsgade elbil_ladestander.186,Lundingsgade,1,Lundingsgade 1,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.187,MULTIPOINT ((12.561172829714215 55.692352064189386)),12.56117283,55.69235206,Nørre Allé elbil_ladestander.187,Nørre Allé,,Nørre Allé ,Blå betalingszone ,Blå betalingszone,,2,E-On,Ved underjordisk P-anlæg
elbil_ladestander.188,MULTIPOINT ((12.543951713735176 55.66629819372589)),12.54395171,55.66629819,Enghave Plads elbil_ladestander.188,Enghave Plads,25,Enghave Plads 25,Blå betalingszone 11kW,Blå betalingszone,11kW,2,E.On Danmark,
elbil_ladestander.189,MULTIPOINT ((12.576729749470621 55.72020298792714)),12.57672975,55.72020299,Vangehusvej elbil_ladestander.189,Vangehusvej,,Vangehusvej , ,,,2,,Afventer opstilling
elbil_ladestander.190,MULTIPOINT ((12.537528377125112 55.65529767542431)),12.53752838,55.65529768,Ernst Kapers Vej elbil_ladestander.190,Ernst Kapers Vej,2,Ernst Kapers Vej 2,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.ON Danmark,
elbil_ladestander.191,MULTIPOINT ((12.537460649390233 55.65530949062605)),12.53746065,55.65530949,Ernst Kapers Vej elbil_ladestander.191,Ernst Kapers Vej,2,Ernst Kapers Vej 2,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.192,MULTIPOINT ((12.540609893514397 55.700342694667874)),12.54060989,55.70034269,Ole Jørgensens Gade elbil_ladestander.192,Ole Jørgensens Gade,3,Ole Jørgensens Gade 3,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,Afventer opstilling
elbil_ladestander.193,MULTIPOINT ((12.537393838704599 55.65532073150913)),12.53739384,55.65532073,Ernst Kapers Vej elbil_ladestander.193,Ernst Kapers Vej,2,Ernst Kapers Vej 2,Uden for betalingszonen 11kW,Uden for betalingszonen,11kW,2,E.On Danmark,
elbil_ladestander.194,MULTIPOINT ((12.561160613650163 55.692250189891766)),12.56116061,55.69225019,Nørre Allé elbil_ladestander.194,Nørre Allé,,Nørre Allé ,Blå betalingszone ,Blå betalingszone,,2,E-On,Ved underjordisk P-anlæg
