FID,wkb_geometry,long,lat,vejkode,vejnavn,name,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,reg_metode
cykelstativ.1029,POINT (12.588151273538971 55.69188747683695),12.58815127,55.69188748,5320,Oslo Plads,Oslo Plads cykelstativ.1029,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,9,Ikke registreret,Indmålt med GPS
cykelstativ.1030,POINT (12.588094991179409 55.69191904645159),12.58809499,55.69191905,5320,Oslo Plads,Oslo Plads cykelstativ.1030,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,10,Ikke registreret,Indmålt med GPS
cykelstativ.1031,POINT (12.587979464932898 55.6919844768623),12.58797946,55.69198448,5320,Oslo Plads,Oslo Plads cykelstativ.1031,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,5,Ikke registreret,Indmålt med GPS
cykelstativ.1032,POINT (12.587913517588843 55.692016636781375),12.58791352,55.69201664,5320,Oslo Plads,Oslo Plads cykelstativ.1032,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,13,Ikke registreret,Indmålt med GPS
cykelstativ.1034,POINT (12.587842534314287 55.69205404940928),12.58784253,55.69205405,5320,Oslo Plads,Oslo Plads cykelstativ.1034,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,14,Ikke registreret,Indmålt med GPS
cykelstativ.1035,POINT (12.58778559161417 55.692083894801314),12.58778559,55.69208389,5320,Oslo Plads,Oslo Plads cykelstativ.1035,Indre By,NO,På fortovsudvidelse,Dobbeltsidet,Vinkelret,15,Ikke registreret,Indmålt med GPS
cykelstativ.1036,POINT (12.577262425096585 55.700708822875086),12.57726243,55.70070882,8580,Østerbrogade,Østerbrogade cykelstativ.1036,Østerbro,NO,På fortov,Enkeltsidet,Vinkelret,20,Ikke registreret,Ikke registreret
cykelstativ.1037,POINT (12.577585891874527 55.70018892141693),12.57758589,55.70018892,8580,Østerbrogade,Østerbrogade cykelstativ.1037,Østerbro,NO,På fortov,Dobbeltsidet,Vinkelret,2,Ikke registreret,Ikke registreret
cykelstativ.1038,POINT (12.577584831327577 55.700273204883906),12.57758483,55.7002732,8580,Østerbrogade,Østerbrogade cykelstativ.1038,Østerbro,NO,På fortov,Dobbeltsidet,Vinkelret,2,Ikke registreret,Ikke registreret
cykelstativ.1039,POINT (12.577589580443483 55.70052919690521),12.57758958,55.7005292,8580,Østerbrogade,Østerbrogade cykelstativ.1039,Østerbro,NO,På fortov,Dobbeltsidet,Vinkelret,2,Ikke registreret,Ikke registreret
cykelstativ.1040,POINT (12.575438331115736 55.6995502720474),12.57543833,55.69955027,8576,Øster Allé,Øster Allé cykelstativ.1040,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Indmålt med GPS
cykelstativ.1041,POINT (12.575457961239495 55.69953904625804),12.57545796,55.69953905,8576,Øster Allé,Øster Allé cykelstativ.1041,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Indmålt med GPS
cykelstativ.1042,POINT (12.575478185002753 55.69953064192373),12.57547819,55.69953064,8576,Øster Allé,Øster Allé cykelstativ.1042,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Indmålt med GPS
cykelstativ.1043,POINT (12.575491772009899 55.69952362830659),12.57549177,55.69952363,8576,Øster Allé,Øster Allé cykelstativ.1043,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Indmålt med GPS
cykelstativ.1044,POINT (12.578113324011056 55.69941379833045),12.57811332,55.6994138,8580,Østerbrogade,Østerbrogade cykelstativ.1044,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,13,Ikke registreret,Indmålt med GPS
cykelstativ.1045,POINT (12.578195946621642 55.69944230636601),12.57819595,55.69944231,5228,Odensegade,Odensegade cykelstativ.1045,Østerbro,NO,På gadeareal,Enkeltsidet,Skråt 45 grader,10,Ikke registreret,Indmålt med GPS
cykelstativ.1046,POINT (12.578664454783565 55.69954570302656),12.57866445,55.6995457,5228,Odensegade,Odensegade cykelstativ.1046,Østerbro,Model 32,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,5,Ikke registreret,Indmålt med GPS
cykelstativ.1047,POINT (12.579065735067374 55.69974831084956),12.57906574,55.69974831,5228,Odensegade,Odensegade cykelstativ.1047,Østerbro,NO,På fortovsudvidelse,Enkeltsidet,Skråt 45 grader,20,Ikke registreret,Indmålt med GPS
