institution_enhed,title,vejnavn,husnr,opsyn,drift_ansvarlig,FID,adresse,postnr,toilet_type,handicapadgang,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,opening_hours,aabningstid_bemrk,placering,longitude,latitude
Ørestad Bibliotek,Arne Jacobsens Allé toilet.13,Arne Jacobsens Allé,19,Nej,,toilet.13,Arne Jacobsens Allé 19,,H+D+handicap,Ja,13 - 18,13 - 18,13 - 18,13 - 18,13 - 18,10 til 13,,Monday: 13 - 18 Tuesday: 13 - 18 Wednesday: 13 - 18 Thursday: 13 - 18 Friday: 13 - 18 Saturday: 10 til 13 Sunday: ,,Kommunal institution,12.580964,55.631286
Center for Arbejdsfastholdelse (JKA),Baldersgade toilet.14,Baldersgade,24,Nej,,toilet.14,Baldersgade 24,2200,H+D,Nej,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,9.00-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 9.00-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.545456,55.699565
"DRIFT, NORD",Baldersgade toilet.15,Baldersgade,60,Nej,Udliciteret,toilet.15,"Baldersgade 60, Balders Plads",2200,H+D+handicap+pissoir,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.548328,55.70131
Bellahøj Hallerne,Bellahøjvej toilet.16,Bellahøjvej,1,Nej,,toilet.16,Bellahøjvej 1,2700,H+D,Nej,08.00-22.00,08.00-22.00,08.00-22.00,08.00-22.00,08.00-22.00,08.00-20.00,08.00-20.00,Monday: 08.00-22.00 Tuesday: 08.00-22.00 Wednesday: 08.00-22.00 Thursday: 08.00-22.00 Friday: 08.00-22.00 Saturday: 08.00-20.00 Sunday: 08.00-20.00,"Lukket jul, påske, skolernes sommerferie",Kommunal institution,12.514315,55.706041
Bellahøj Svømmestadion,Bellahøjvej toilet.17,Bellahøjvej,1,Nej,,toilet.17,Bellahøjvej 1-3,2700,H+D,Nej,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,"Skiftende åbningstider, se dem på: http://teambade.kk.dk/indhold/%C3%A5bningstider-lukkedage-og-driftinfo",Kommunal institution,12.514315,55.706041
Havnebadet Sluseholmen,Ben Websters Vej toilet.18,Ben Websters Vej,69,Nej,,toilet.18,Ben Websters Vej 69 ,2450,H+D,Nej,kl. 11-19,kl. 11-19,kl. 11-19,kl. 11-19,kl. 11-19,kl. 11-19,kl. 11-19,Monday: kl. 11-19 Tuesday: kl. 11-19 Wednesday: kl. 11-19 Thursday: kl. 11-19 Friday: kl. 11-19 Saturday: kl. 11-19 Sunday: kl. 11-19,Fra 1. juni til 31. august,Kommunal institution,12.553926,55.646365
Thorvaldsens Museum,Bertel Thorvaldsens Plads toilet.19,Bertel Thorvaldsens Plads,2,Nej,,toilet.19,Bertel Thorvaldsens Plads 2,1213,H+D,Nej,lukket,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,Monday: lukket Tuesday: 10.00-17.00 Wednesday: 10.00-17.00 Thursday: 10.00-17.00 Friday: 10.00-17.00 Saturday: 10.00-17.00 Sunday: 10.00-17.00,"Lukket 24/12, 25/12, 31/12, 1/1",Kommunal institution,12.578283,55.676533
Remisen,Blegdamsvej toilet.20,Blegdamsvej,132,Nej,,toilet.20,Blegdamsvej 132,2100,H+D+handicap,Ja,16.00 - 22.00,16.00 - 22.00,16.00 - 22.00,16.00 - 22.00,Lukket,Lukket,Lukket,Monday: 16.00 - 22.00 Tuesday: 16.00 - 22.00 Wednesday: 16.00 - 22.00 Thursday: 16.00 - 22.00 Friday: Lukket Saturday: Lukket Sunday: Lukket,"Lukket helligedage og fra 1/6-31-8. Det kan forkomme at der er åbent lørdag og søndag
ved arrangementer så er åbningestiden kl 10.00-16.00",Kommunal institution,12.57679,55.698684
CDI,Blågårds Plads toilet.21,Blågårds Plads,,Nej,Egen drift,toilet.21,,,H+D+handicap,Ja,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,Monday: døgnåbent Tuesday: døgnåbent Wednesday: døgnåbent Thursday: døgnåbent Friday: døgnåbent Saturday: døgnåbent Sunday: døgnåbent,døgnåbent,Gade,12.556468,55.686448
"DRIFT, INDRE",Blågårds Plads toilet.22,Blågårds Plads,3,Nej,Egen drift,toilet.22,Blågårds Plads nr. 3,2200,Støbejernspissoir,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.557011,55.686248
"DRIFT, INDRE",Borgergade toilet.23,Borgergade,1F,Nej,Egen drift,toilet.23,Borgergade 1F,,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.583712,55.682099
Nørrebro Bibliotek,Bragesgade toilet.24,Bragesgade,8B,Nej,,toilet.24,Bragesgade 8B,,H+D+handicap,Ja,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,lukket,Monday: 8:00 - 19:00 Tuesday: 8:00 - 19:00 Wednesday: 8:00 - 19:00 Thursday: 8:00 - 19:00 Friday: 8:00 - 19:00 Saturday: 8:00 - 19:00 Sunday: lukket,Helligdage lukket,Kommunal institution,12.543642,55.699012
Emdrup Bad,Bredelandsvej toilet.25,Bredelandsvej,20,Nej,,toilet.25,Bredelandsvej 20,2100,H+D,Nej,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,"Skiftende åbningstider, se dem på: http://teambade.kk.dk/indhold/%C3%A5bningstider-lukkedage-og-driftinfo",Kommunal institution,12.547187,55.718342
"DRIFT, NORD",Emdrupvej toilet.26,Emdrupvej,183,Nej,Egen drift,toilet.26,"Emdrup Torv, Emdrupvej 183",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.529522,55.723012
"DRIFT, INDRE",Enghave Plads toilet.27,Enghave Plads,27,Nej,Egen drift,toilet.27,"Enghave plads, Enghave plads 27",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.54562,55.667138
Bavnehøj idrætsanlæg,Enghavevej toilet.28,Enghavevej,90,Nej,,toilet.28,Enghavevej 90,2450,H+D,Nej,8.00-23.00,8.00-23.00,8.00-23.00,8.00-23.00,8.00-21.00,8.00-19.00,8.00-21.00,Monday: 8.00-23.00 Tuesday: 8.00-23.00 Wednesday: 8.00-23.00 Thursday: 8.00-23.00 Friday: 8.00-21.00 Saturday: 8.00-19.00 Sunday: 8.00-21.00,,Kommunal institution,12.538606,55.659686
Sundby Idrætspark,Englandsvej toilet.29,Englandsvej,61,Nej,,toilet.29,Englandsvej 61,2300,H+D+handicap,Ja,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 23.00,7.00 - 22.00,7.00  - 21.00,7.00 - 21.00,Monday: 7.00 - 23.00 Tuesday: 7.00 - 23.00 Wednesday: 7.00 - 23.00 Thursday: 7.00 - 23.00 Friday: 7.00 - 22.00 Saturday: 7.00  - 21.00 Sunday: 7.00 - 21.00,"lukket juli, jul & nytår og helligdage",Kommunal institution,12.599956,55.65023
"DRIFT, NORD",Engsvinget toilet.30,Engsvinget,46,Nej,Egen drift,toilet.30,Engsvinget 46,,Handicaptoilet,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.514386,55.716726
Grøndal MultiCenter,Hvidkildevej toilet.31,Hvidkildevej,64,Nej,,toilet.31,Hvidkildevej 64,2400,H+D+handicap,Ja,07.00-23.00,07.00-23.00,07.00-23.00,07.00-23.00,07.00-23.00,09.00-19.00,07.00-23.00,Monday: 07.00-23.00 Tuesday: 07.00-23.00 Wednesday: 07.00-23.00 Thursday: 07.00-23.00 Friday: 07.00-23.00 Saturday: 09.00-19.00 Sunday: 07.00-23.00,"Lukket juleaftensdag, 31/12 og 1/1",Kommunal institution,12.515352,55.699834
"DRIFT, NORD",Hyrdevangen toilet.32,Hyrdevangen,1,Nej,Egen drift,toilet.32,Brønshøjparken,,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.510322,55.707316
Behandlingsenhed Indre (BEI),Hørsholmsgade toilet.33,Hørsholmsgade,20A,Nej,,toilet.33,Hørsholmsgade 20 A,2200,H+D+handicap,Ja,09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,09:00 - 13:00 16:00 17:00,09:00 - 13:00,,,Monday: 09:00 - 15:00 Tuesday: 09:00 - 15:00 Wednesday: 09:00 - 15:00 Thursday: 09:00 - 13:00 16:00 17:00 Friday: 09:00 - 13:00 Saturday:  Sunday: ,,Kommunal institution,12.543388,55.691853
Sundhedshus Vanløse/Brønshøj/Husum,Indertoften toilet.34,Indertoften,10,Nej,,toilet.34,Indertoften 10,,H+D+handicap,Ja,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,,,Monday: 9.00 - 16.00 Tuesday: 9.00 - 16.00 Wednesday: 9.00 - 16.00 Thursday: 9.00 - 16.00 Friday: 9.00 - 16.00 Saturday:  Sunday: ,,Kommunal institution,12.489073,55.686385
Kulturhuset Islands Brygge,Islands Brygge toilet.35,Islands Brygge,18,Nej,,toilet.35,Islands Brygge 18,2300,H+D+handicap,Ja,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,Monday: 08:00-23:00 Tuesday: 08:00-23:00 Wednesday: 08:00-23:00 Thursday: 08:00-23:00 Friday: 08:00-23:00 Saturday: 08:00-23:00 Sunday: 08:00-23:00,,Kommunal institution,12.576278,55.666837
"DRIFT, INDRE",Islands Brygge toilet.36,Islands Brygge,22,Nej,AFA,toilet.36,Islands Brygge over for nr. 37,,Reklamesøjle m. toilet,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.57425,55.665192
CDI/CDS,Islands Brygge toilet.37,Islands Brygge,,Nej,Udliciteret,toilet.37,islands Brygge,2300,Bemandet H+D+handicap,Ja,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnpbent,døgnåbent,døgnåbent,Monday: døgnåbent Tuesday: døgnåbent Wednesday: døgnåbent Thursday: døgnåbent Friday: døgnpbent Saturday: døgnåbent Sunday: døgnåbent,Døgnåbent,Gade,12.573933,55.665352
"DRIFT, SYD",Islands Brygge toilet.38,Islands Brygge,12,Nej,Udliciteret,toilet.38,Havneparken,2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.578468,55.668388
"DRIFT, INDRE",Istedgade toilet.39,Istedgade,20,Nej,Egen drift,toilet.39,"Istedgade 20, Maria Kirkeplads",,Andre pissoirs,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.560541,55.67169
Kultur Østerbro,Jagtvej toilet.40,Jagtvej,227,Nej,,toilet.40,Jagtvej 227,2100,H+D+handicap,Ja,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,10:00-14:00,10:00-14:00,Monday: 11:00-17:00 Tuesday: 11:00-17:00 Wednesday: 11:00-17:00 Thursday: 11:00-17:00 Friday: 11:00-17:00 Saturday: 10:00-14:00 Sunday: 10:00-14:00,,Kommunal institution,12.576495,55.709166
"DRIFT, INDRE",Flæsketorvet toilet.41,Flæsketorvet,63,Nej,Ikke registreret,toilet.41,Flæsketorvet 63,,Andre pissoirs,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.560923,55.667512
Frankrigsgade Svømmehal,Frankrigsgade toilet.42,Frankrigsgade,35,Nej,,toilet.42,Frankrigsgade 35,2300,H+D,Nej,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,"Skiftende åbningstider, se dem på: http://teambade.kk.dk/indhold/%C3%A5bningstider-lukkedage-og-driftinfo",Kommunal institution,12.609794,55.662899
"DRIFT, INDRE",Frederiksborggade toilet.43,Frederiksborggade,21,Ja,Egen drift,toilet.43,Israels Plads - Frederiksborggade 21,,H+D,Nej,10.00 - 19.00,10.00 - 19.00,10.00 - 19.00,10.00 - 19.00,10.00 - 19.00,10.00 - 20.00,10.00 - 17.00,Monday: 10.00 - 19.00 Tuesday: 10.00 - 19.00 Wednesday: 10.00 - 19.00 Thursday: 10.00 - 19.00 Friday: 10.00 - 19.00 Saturday: 10.00 - 20.00 Sunday: 10.00 - 17.00,,Gade,12.569471,55.684294
"Kulturstationen Vanløse, Kulturhus",Frode Jakobsens Plads toilet.44,Frode Jakobsens Plads,4,Nej,,toilet.44,"Frode Jakobsens Plads 4, 1 sal",,H+D+handicap,Ja,8.00-21.00,8.00-21.00,8.00-21.00,8.00-21.00,8.00-21.00,8.00-21.00,8.00-21.00,Monday: 8.00-21.00 Tuesday: 8.00-21.00 Wednesday: 8.00-21.00 Thursday: 8.00-21.00 Friday: 8.00-21.00 Saturday: 8.00-21.00 Sunday: 8.00-21.00,Selvbetjent til 22.00,Kommunal institution,12.491066,55.687068
Center for Afklaring og Beskæftigelse (CAB),Gamle Vasbygade toilet.45,Gamle Vasbygade,49,Nej,,toilet.45,Gamle Vasbygade 49,2450,H+D+handicap,Ja,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,9.00-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 9.00-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.539789,55.654192
"DRIFT, INDRE",Gammel Kongevej toilet.46,Gammel Kongevej,6,Nej,AFA,toilet.46,"Vester Søgade, o.f. Planetariet",,Handicaptoilet,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.558971,55.674807
Genforeningspladsen,Genforeningspladsen toilet.47,Genforeningspladsen,54,Nej,,toilet.47,Genforeningspladsen 54,2400,H+D+handicap,Ja,07.00-22.00,07.00-22.00,07.00-22.00,07.00-22.00,07.00-22.00,08.00-20.00,08.00-20.00,Monday: 07.00-22.00 Tuesday: 07.00-22.00 Wednesday: 07.00-22.00 Thursday: 07.00-22.00 Friday: 07.00-22.00 Saturday: 08.00-20.00 Sunday: 08.00-20.00,Lukket 1/10-1/5,Kommunal institution,12.51841,55.699977
Voksen- & Hjemløsenheden/Fælles Modtagelse,Griffenfeldsgade toilet.48,Griffenfeldsgade,44,Nej,,toilet.48,"Griffenfeldsgade 44, opgang 2, stuen",2200,H+D,Nej,10.00 - 13.00,10.00 - 13.00,10.00 - 13.00,10.00 - 13.00,10.00 - 13.00,Lukket,Lukket,Monday: 10.00 - 13.00 Tuesday: 10.00 - 13.00 Wednesday: 10.00 - 13.00 Thursday: 10.00 - 13.00 Friday: 10.00 - 13.00 Saturday: Lukket Sunday: Lukket,Mellem jul- og nytår samt andre helligedage er der lukket,Kommunal institution,12.552652,55.686427
Øbro-Hallen,Gunnar Nu Hansens Plads toilet.49,Gunnar Nu Hansens Plads,3,Nej,,toilet.49,Gunnar Nu Hansens Plads 3,2100,H+D,Nej,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,"Skiftende åbningstider, se dem på: http://teambade.kk.dk/indhold/%C3%A5bningstider-lukkedage-og-driftinfo",Kommunal institution,12.576293,55.704756
International house (JKI),Gyldenløvesgade toilet.50,Gyldenløvesgade,11,Nej,,toilet.50,Gyldenløvesgade 11,1600,H+D,Nej,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,10.30-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 10.30-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.562782,55.679748
"DRIFT, INDRE",Halmtorvet toilet.51,Halmtorvet,12A,Nej,Egen drift,toilet.51,"Halmtorvet, Halmtorvet nr 12 A",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.561251,55.670548
"DRIFT, INDRE",Halmtorvet toilet.52,Halmtorvet,9C,Nej,Udliciteret,toilet.52,"Kødbyen, Halmtorvet 9C",,H+D,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Andet,12.561735,55.670053
Sundhedshus Amager,Hans Bogbinders Allé toilet.53,Hans Bogbinders Allé,3,Nej,,toilet.53,Hans Bogbinders Allé 3,,H+D+handicap,Ja,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,9.00 - 16.00,,,Monday: 9.00 - 16.00 Tuesday: 9.00 - 16.00 Wednesday: 9.00 - 16.00 Thursday: 9.00 - 16.00 Friday: 9.00 - 16.00 Saturday:  Sunday: ,,Kommunal institution,12.609173,55.654728
"DRIFT, INDRE",Havnegade toilet.54,Havnegade,27,Nej,Egen drift,toilet.54,"Havnegade, Havnegade of. nr 27",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,aldrig lukket,Gade,12.588465,55.676341
"Center for Beskæftigelse, Sprog og Integration (CBSI)",Hejrevej toilet.55,Hejrevej,10,Nej,,toilet.55,Hejrevej 10,2200,H+D,Nej,9.00-15.00,9.00-15.00,9.00-15.00,9.00-15.00,9.00-14.00,,,Monday: 9.00-15.00 Tuesday: 9.00-15.00 Wednesday: 9.00-15.00 Thursday: 9.00-15.00 Friday: 9.00-14.00 Saturday:  Sunday: ,Lukket weekender og helligdage,Kommunal institution,12.533771,55.700684
"DRIFT, NORD",Hulgårds Plads toilet.56,Hulgårds Plads,,Nej,Egen drift,toilet.56,Hulgårds Plads,,H+D,Ja,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,døgnåbent,Monday: døgnåbent Tuesday: døgnåbent Wednesday: døgnåbent Thursday: døgnåbent Friday: døgnåbent Saturday: døgnåbent Sunday: døgnåbent,døgnåbent,Gade,12.522196,55.705075
"DRIFT, INDRE",Dyrkøb toilet.58,Dyrkøb,1,Nej,AFA,toilet.58,Vor Frue Plads ud for Dyrkøb 1,,Reklamesøjle m. toilet,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.573532,55.679306
"DRIFT, INDRE",Edel Sauntes Allé toilet.59,Edel Sauntes Allé,5,Nej,,toilet.59,Edel Sauntes Alle 5 (skateparken),,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.563927,55.699603
"DRIFT, INDRE",Edel Sauntes Allé toilet.60,Edel Sauntes Allé,18,Nej,Udliciteret,toilet.60,"Edel Sauntes Alle 18-20,  ( Det røde toilet)",,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.565388,55.700706
"DRIFT, NORD",Elna Munchs Plads toilet.61,Elna Munchs Plads,2,Nej,Egen drift,toilet.61,"Ålekistevej, Ålekistevej 167",,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.480697,55.691461
Nikolaj Kunsthal,Nikolaj Plads toilet.62,Nikolaj Plads,10,Nej,,toilet.62,Nikolaj Plads 10,1067,H+D+handicap,Ja,lukket,12.00-17.00,12.00-17.00,12.00-21.00,12.00-17.00,12.00-17.00,12.00-17.00,Monday: lukket Tuesday: 12.00-17.00 Wednesday: 12.00-17.00 Thursday: 12.00-21.00 Friday: 12.00-17.00 Saturday: 12.00-17.00 Sunday: 12.00-17.00,,Kommunal institution,12.581474,55.678791
"DRIFT, INDRE",Nikolaj Plads toilet.63,Nikolaj Plads,10,Nej,Egen drift,toilet.63,Nikolaj Plads 10,,Støbejernspissoir,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.581856,55.679004
Islands Brygges Bibliotek,Njalsgade toilet.64,Njalsgade,13,Nej,,toilet.64,Njalsgade 13,2300,H+D,Nej,13:00-18:00,10:00-16:00,14:00-18:00,13:00-18:00,13:00-17:00,10:00-14:00,Lukket,Monday: 13:00-18:00 Tuesday: 10:00-16:00 Wednesday: 14:00-18:00 Thursday: 13:00-18:00 Friday: 13:00-17:00 Saturday: 10:00-14:00 Sunday: Lukket,,Kommunal institution,12.57878,55.666727
"DRIFT, INDRE",Nybrogade toilet.65,Nybrogade,24,Nej,Egen drift,toilet.65,Nybrogade over for nr. 24,,Andre pissoirs,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.57601,55.676105
"DRIFT, INDRE",Nyhavn toilet.66,Nyhavn,1F,Ja,Egen drift,toilet.66,"Nyhavn 1F, underjordisk",,Bemandet H+D,Nej,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Monday: 9.00 - 22.30 Tuesday: 9.00 - 22.30 Wednesday: 9.00 - 22.30 Thursday: 9.00 - 22.30 Friday: 9.00 - 22.30 Saturday: 9.00 - 22.30 Sunday: 9.00 - 22.30,,Gade,12.587758,55.680573
"DRIFT, INDRE",Nyhavn toilet.67,Nyhavn,47,Nej,Egen drift,toilet.67,"Nyhavn, over for nr. 47",,Andre pissoirs,Nej,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.591223,55.679813
